Player,Estimated Return Date
Eli John N'Diaye,2025-10-01
Jacob Toppin,2025-10-01
Nikola Djurisic,2025-10-01
Jalen Johnson,2025-10-01
RJ Luis Jr.,2025-10-01
Jayson Tatum,2026-04-01
Anfernee Simons,2025-10-01
Jaylen Brown,2025-10-01
Tyson Etienne,2025-10-01
Ziaire Williams,2025-10-01
Cam Thomas,2025-10-01
Day'Ron Sharpe,2025-10-01
Noah Clowney,2025-10-01
Tidjane Salaun,2025-10-01
Grant Williams,2025-10-01
Nick Smith Jr.,2025-10-01
Brandon Miller,2025-10-01
Miles Bridges,2025-10-01
LaMelo Ball,2025-10-01
Noa Essengue,2025-10-01
Ayo Dosunmu,2025-10-01
Craig Porter Jr.,2025-10-01
Sam Merrill,2025-10-01
Darius Garland,2025-11-01
Lonzo Ball,2025-10-01
Dereck Lively II,2025-10-01
Anthony Davis,2025-10-01
Olivier-Maxence Prosper,2025-10-01
Kyrie Irving,2026-01-01
Hunter Tyson,2025-10-01
Ronald Holland II,2025-10-01
Isaiah Stewart,2025-10-01
Jaden Ivey,2025-10-01
Brandin Podziemski,2025-10-01
Moses Moody,2025-10-01
Stephen Curry,2025-10-01
Reed Sheppard,2025-10-01
N'Faly Dante,2025-10-01
Dorian Finney-Smith,2025-10-01
Kevin Durant,2025-10-01
Quenton Jackson,2025-10-01
Johnny Furphy,2025-10-01
Isaiah Jackson,2025-10-01
Tyrese Haliburton,2026-05-01
James Wiseman,2025-10-01
Jarace Walker,2025-10-01
Yanic Konan Niederhauser,2025-10-01
Kobe Brown,2025-10-01
Augustas Marciulionis,2025-10-01
Eric Dixon,2025-10-01
Adou Thiero,2025-10-01
Bronny James,2025-10-01
Cedric Coward,2025-10-01
Ja Morant,2025-10-01
Jaren Jackson Jr.,2025-10-01
Zach Edey,2025-11-01
Brandon Clarke,2025-10-01
Haywood Highsmith,2025-10-06
Dru Smith,2025-10-01
Terry Rozier,2025-10-01
Mark Sears,2025-10-01
Jamaree Bouyea,2025-10-01
Derik Queen,2025-10-01
Yves Missi,2025-10-01
Micah Peavy,2025-10-01
Herbert Jones,2025-10-01
Zion Williamson,2025-10-01
Dejounte Murray,2026-01-01
Trey Murphy III,2025-10-01
Karlo Matkovic,2025-10-01
Jordan Hawkins,2025-10-01
Saddiq Bey,2025-10-01
Kevin McCullar Jr.,2025-10-01
Ariel Hukporti,2025-10-01
Pacome Dadiet,2025-10-01
Josh Hart,2025-10-01
Thomas Sorber,2025-10-01
Jalen Williams,2025-10-01
Moritz Wagner,2025-10-01
Jase Richardson,2025-10-01
Noah Penda,2025-10-01
Tristan da Silva,2025-10-01
Jalen Suggs,2025-10-01
Justin Edwards,2025-10-01
Johni Broome,2025-10-01
Adem Bona,2025-10-01
Dominick Barlow,2025-10-01
Paul George,2025-10-01
Joel Embiid,2025-10-01
Kelly Oubre Jr.,2025-10-01
Jared McCain,2025-10-01
Tyrese Maxey,2025-10-01
Andre Drummond,2025-10-01
Koby Brea,2025-10-01
Nick Richards,2025-10-01
Yang Hansen,2025-10-01
Damian Lillard,2026-05-01
Robert Williams III,2025-10-01
Shaedon Sharpe,2025-10-01
Scoot Henderson,2025-10-01
Jerami Grant,2025-10-01
Deni Avdija,2025-10-01
Malik Monk,2025-10-01
De'Aaron Fox,2025-10-01
Dylan Harper,2025-10-01
Carter Bryant,2025-10-01
Kelly Olynyk,2025-10-01
Devin Vassell,2025-10-01
Jeremy Sochan,2025-10-01
A.J. Lawson,2025-10-01
Brandon Ingram,2025-10-01
Jakob Poeltl,2025-10-01
Gradey Dick,2025-10-01
Brice Sensabaugh,2025-10-01
Kyle Filipowski,2025-10-01
Isaiah Collier,2025-10-01
Walter Clayton Jr.,2025-10-01
Ace Bailey,2025-10-01
KJ Martin,2025-10-01
Walker Kessler,2025-10-01
Taylor Hendricks,2025-10-01
Will Riley,2025-10-01
Tre Johnson,2025-10-01
Alex Sarr,2025-10-01
Kyshawn George,2025-10-01
Bub Carrington,2025-10-01
Khris Middleton,2025-10-01
Corey Kispert,2025-10-01
Bilal Coulibaly,2025-10-01
