PLAYER_NAME,PLAYER_ID,TEAM_ID,GP,PTS,REB,AST,STL,BLK,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,TOV
A.J. Lawson,1630639,1610612761,1,10.0,5.0,0.0,0.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,0.0
AJ Green,1631260,1610612749,24,11.3,2.8,2.1,0.5,0.1,3.6,7.3,0.489,0.8,1.0,0.792,3.3,0.8
AJ Johnson,1642358,1610612764,10,0.7,0.6,0.4,0.0,0.0,0.2,1.3,0.154,0.3,0.4,0.75,0.0,0.2
Aaron Gordon,203932,1610612743,13,18.8,5.9,1.3,0.8,0.2,6.3,11.8,0.532,4.0,4.6,0.867,2.2,1.4
Aaron Holiday,1628988,1610612745,16,9.1,1.0,1.2,0.5,0.2,2.9,6.3,0.455,1.5,1.7,0.889,1.8,0.9
Aaron Nesmith,1630174,1610612754,11,15.5,4.5,1.5,0.8,0.3,4.9,13.4,0.367,2.8,3.5,0.795,2.8,0.7
Aaron Wiggins,1630598,1610612760,13,13.8,3.2,2.2,0.5,0.6,5.2,10.8,0.486,0.8,1.0,0.769,2.5,1.2
Ace Bailey,1642846,1610612762,23,10.3,3.3,1.7,0.8,0.3,4.0,9.0,0.447,0.7,1.0,0.773,1.5,1.4
Adem Bona,1641737,1610612755,17,3.5,3.7,0.2,0.4,1.5,1.3,2.4,0.55,0.8,1.4,0.583,0.1,0.7
Adou Thiero,1642876,1610612747,8,1.3,0.8,0.1,0.3,0.0,0.4,0.6,0.6,0.5,0.6,0.8,0.0,0.4
Ajay Mitchell,1642349,1610612760,24,14.4,3.3,3.6,1.5,0.3,5.2,11.1,0.464,3.0,3.4,0.877,1.1,1.6
Al Horford,201143,1610612744,13,5.6,4.4,2.0,1.0,1.0,1.9,6.0,0.321,0.5,0.5,1.0,1.3,1.2
Alex Caruso,1627936,1610612760,15,5.7,2.4,2.5,1.6,0.3,2.0,5.0,0.4,0.5,0.7,0.8,1.1,1.0
Alex Sarr,1642259,1610612764,16,19.1,8.6,3.3,0.8,2.0,7.8,15.1,0.515,2.4,3.8,0.639,1.1,2.1
Alijah Martin,1642918,1610612761,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alperen Sengun,1630578,1610612745,19,23.1,9.1,7.1,1.3,1.0,8.5,16.8,0.505,5.1,6.8,0.738,1.1,3.3
Amari Williams,1642873,1610612738,6,0.5,1.2,0.2,0.2,0.3,0.2,0.3,0.5,0.2,0.3,0.5,0.0,0.0
Amen Thompson,1641708,1610612745,21,17.4,7.0,5.1,1.4,0.5,6.8,14.2,0.477,3.4,4.3,0.8,0.4,2.7
Amir Coffey,1629599,1610612749,18,1.7,0.8,0.4,0.0,0.1,0.6,1.3,0.435,0.4,0.4,1.0,0.2,0.1
Andre Drummond,203083,1610612755,22,7.7,9.4,0.8,0.7,0.9,3.1,5.7,0.544,1.0,1.6,0.629,0.5,0.9
Andre Jackson Jr.,1641748,1610612749,11,1.4,0.9,1.5,0.5,0.2,0.5,1.5,0.313,0.3,0.4,0.75,0.2,0.5
Andrew Nembhard,1629614,1610612754,15,17.2,2.0,6.3,0.9,0.2,5.6,13.2,0.424,4.2,4.9,0.851,1.8,2.3
Andrew Wiggins,203952,1610612748,21,16.8,5.0,3.0,1.0,1.1,6.6,13.6,0.483,1.9,2.7,0.702,1.7,1.9
Anfernee Simons,1629014,1610612738,24,13.4,2.3,2.5,0.5,0.2,4.8,10.8,0.44,1.4,1.6,0.872,2.5,1.1
