PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1641872,,,1610612758,SAC,,5,2,3,0.4,10.9,1.6,3.6,0.444,0.0,0.0,0.0,0.8,1.0,0.8,2.0,2.6,4.6,1.0,1.4,0.2,0.8,0.0,2.0,1.4,4.0,-2.0,12.6,0,0,11.6,1181,1199,1127,1035,1299,1163,1187,747,1337,1471,1337,855,893,503,183,743,479,1055,584,1345,259,1370,545,754,1199,1070,1033,653,77,1053,1
196294944,,,1610612755,PHI,,4,3,1,0.75,30.5,6.0,14.3,0.421,1.0,5.0,0.2,4.3,5.3,0.81,0.3,3.0,3.3,6.0,2.3,0.5,0.0,0.5,0.8,4.5,17.3,4.8,29.4,0,0,28.5,1288,1117,1376,161,290,236,167,970,662,326,1224,47,48,474,1346,595,821,69,220,999,1346,557,1385,65,221,180,326,653,77,327,1
1642479,,,1610612742,DAL,,3,1,2,0.333,4.6,0.3,1.0,0.333,0.0,0.0,0.0,0.3,0.7,0.5,0.7,1.0,1.7,0.0,0.0,0.0,0.7,0.3,0.7,1.0,1.0,0.0,5.0,0,0,4.0,1351,1347,1251,1197,1519,1518,1522,1357,1337,1471,1337,1247,1139,1293,890,1298,1254,1503,1495,1440,335,854,1416,954,1502,691,1451,653,77,1474,1
1642478,,,1610612742,DAL,,3,0,3,0.0,10.6,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0,0.7,0.0,0.0,2.3,0.3,0.0,-3.3,2.0,0,0,2.7,1351,1471,1127,1471,1318,1541,1522,1541,1337,1275,1337,1437,1453,1437,1465,1541,1556,908,289,802,1346,1370,350,1404,1549,1236,1541,653,77,1516,1
1642448,,,1610612754,IND,,2,0,2,0.0,9.1,2.0,6.5,0.308,0.5,2.5,0.2,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.5,5.0,-7.5,9.0,0,0,8.5,1446,1471,1251,1471,1387,1003,777,1428,978,813,1224,1092,1261,1,1465,1541,1556,1055,1260,401,1346,119,1539,701,1075,1521,1260,653,77,1264,1
1642494,,,1610612740,NOP,,1,0,1,0.0,3.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-0.8,0,0,1.0,1528,1471,1376,1471,1560,1541,1522,1541,1337,1166,1337,1437,1453,1437,1465,1298,1424,1503,289,1440,1346,1370,1539,1504,1549,1302,1584,653,77,1558,1
1642482,,,1610612742,DAL,,1,0,1,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0,0.0,1528,1471,1376,1471,1533,1541,1571,1541,1337,1471,1337,1437,1453,1437,1465,1541,1556,1503,1495,1440,1346,1370,1539,1504,1549,883,1569,653,77,1571,1
1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,26,14,12,0.538,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.6,0.5,0.2,0.5,1.7,1.5,9.1,-0.7,16.5,2,0,16.3,710,590,679,660,866,722,686,970,540,516,799,402,348,1012,799,773,812,982,1221,999,972,664,794,726,674,837,846,321,77,817,1
1630639,A.J. Lawson,A.J.,1610612742,DAL,24.0,5,1,4,0.2,27.8,6.2,13.2,0.47,1.6,5.6,0.286,4.4,6.2,0.71,0.6,4.4,5.0,1.6,1.2,1.2,0.2,1.0,1.6,4.0,18.4,-3.8,29.8,0,0,29.4,1181,1347,1053,1401,410,220,234,576,395,253,991,42,26,922,956,269,396,777,719,274,1025,119,870,101,169,1290,307,653,77,298,1
1631260,AJ Green,AJ,1610612749,MIL,25.0,73,44,29,0.603,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.5,0.1,0.0,2.2,0.7,7.4,3.1,13.8,0,0,14.6,92,63,201,463,656,887,869,889,218,347,179,1283,1346,443,1366,922,1075,837,1245,998,1253,1367,457,1186,814,286,981,653,77,905,1
